Mã HP	Tên Học Phần	Tổng TC	TC Lý thuyết	TC Thực hành	TC Tự học	Hình thức (OFFLINE/ONLINE_ELEARNING/ONLINE_COURSERA/HYBRID)	Loại phòng (LT / PM / TN / SB / XT / BV / DN / ONLINE / DA)	Mã Khoa	Mã Bộ môn (Tùy chọn)	Mã Khoa dùng chung (cách nhau dấu phẩy, VD: IT,CS,MATH)
FP-1001	Dược lâm sàng	3	2	1	0	OFFLINE	LT	FP	FP-BM1	
FP-1002	Dược lý ứng dụng	3	2	1	0	HYBRID	LT	FP	FP-BM1	
FP-1003	Độc học — Dược thải và an toàn	2	0	2	0	OFFLINE	TN	FP	FP-BM1	
FP-1004	Marketing và truyền thông sức khỏe	3	2	1	0	OFFLINE	LT	FP	FP-BM1	
FP-1005	Sinh phẩm và vaccine	3	2	1	0	OFFLINE	TN	FP	FP-BM1	
FP-1006	Dược phẩm lâm sàng các nhóm thuốc	3	2	1	0	OFFLINE	LT	FP	FP-BM1	
FP-1007	Seminar chuyên đề Dược	3	1	0	2	ONLINE_ELEARNING	ONLINE	FP	FP-BM1	
FP-1008	Quản lý chất lượng dược phẩm	2	0	2	0	ONLINE_COURSERA	ONLINE	FP	FP-BM1	
FP-1009	Thông tin dược và kê đơn	3	2	1	0	ONLINE_ELEARNING	ONLINE	FP	FP-BM1	
FP-1010	Điều dưỡng dược lâm sàng	2	2	0	0	ONLINE_ELEARNING	ONLINE	FP	FP-BM1	
FP-1011	Bào chế và công nghệ dược	3	2	1	0	OFFLINE	TN	FP	FP-BM1	
FP-1012	Dược liệu và thuốc cổ truyền	2	1	0	1	ONLINE_ELEARNING	ONLINE	FP	FP-BM1	
FP-1013	Thực tập cơ sở sản xuất dược	2	0	2	0	OFFLINE	DN	FP	FP-BM1	
FP-1014	Sinh dược	3	2	1	0	HYBRID	TN	FP	FP-BM1	
FP-1015	Kiểm nghiệm dược phẩm	4	3	1	0	OFFLINE	TN	FP	FP-BM1	
FP-1016	Dược lý	4	3	1	0	ONLINE_ELEARNING	ONLINE	FP	FP-BM1	
FP-1017	Phân tích dược — UV–Vis và HPLC	3	2	1	0	ONLINE_COURSERA	ONLINE	FP	FP-BM1	
FP-1018	Chọn thuốc và theo dõi điều trị	2	0	2	0	OFFLINE	PM	FP	FP-BM1	
FP-1019	Hóa dược	3	1	0	2	HYBRID	LT	FP	FP-BM1	
FN-1020	Y học cơ sở ứng dụng trong điều dưỡng	3	2	1	0	OFFLINE	LT	FN	FN-BM1	
FN-1021	Kỹ năng giao tiếp và đạo đức nghề nghiệp	4	3	1	0	OFFLINE	LT	FN	FN-BM1	
FN-1022	Dinh dưỡng và ăn bệnh lý	3	2	1	0	ONLINE_ELEARNING	ONLINE	FN	FN-BM1	
FN-1023	Chăm sóc người bệnh ngoại khoa	4	3	1	0	OFFLINE	PM	FN	FN-BM1	
FN-1024	Cấp cứu và hồi sinh cơ bản	2	1	0	1	ONLINE_ELEARNING	ONLINE	FN	FN-BM1	
FN-1025	Hộ sinh cơ sở	3	2	1	0	ONLINE_COURSERA	ONLINE	FN	FN-BM1	
FN-1026	Điều dưỡng tâm thần	3	2	1	0	OFFLINE	LT	FN	FN-BM1	
FN-1027	An toàn người bệnh và kiểm soát nhiễm khuẩn	3	2	1	0	OFFLINE	LT	FN	FN-BM1	
FN-1028	Chăm sóc người bệnh nhiễm	4	3	1	0	OFFLINE	PM	FN	FN-BM1	
FN-1029	Điều dưỡng cộng đồng	3	1	0	2	ONLINE_ELEARNING	ONLINE	FN	FN-BM1	
FN-1030	Chăm sóc giảm nhẹ và công tác xã hội trong y tế	3	1	0	2	ONLINE_ELEARNING	ONLINE	FN	FN-BM1	
FN-1031	Điều dưỡng người cao tuổi	3	1	0	2	ONLINE_ELEARNING	ONLINE	FN	FN-BM1	
FN-1032	Luật Y tế và chế độ hộ sinh	3	2	1	0	OFFLINE	LT	FN	FN-BM1	
FN-1033	Hộ sinh trong chuyển dạ sinh	2	1	1	0	HYBRID	LT	FN	FN-BM1	
FN-1034	Theo dõi thai — Sản khoa hộ sinh	3	2	1	0	OFFLINE	PM	FN	FN-BM1	
FN-1035	Thực tập điều dưỡng lâm sàng	3	2	1	0	OFFLINE	BV	FN	FN-BM1	
FN-1036	Thực tập hộ sinh	3	2	1	0	HYBRID	BV	FN	FN-BM1	
FN-1037	Điều dưỡng trong COVID và bệnh hô hấp	3	2	1	0	OFFLINE	LT	FN	FN-BM1	
FN-1038	Điều dưỡng trẻ em	4	3	1	0	OFFLINE	LT	FN	FN-BM1	
BMS-1039	Dược lý cơ sở	3	2	1	0	HYBRID	TN	BMS	BMS-BM1	
BMS-1040	Dịch tễ học cơ sở	3	2	1	0	ONLINE_ELEARNING	ONLINE	BMS	BMS-BM1	
BMS-1041	Tâm lý học y khoa	2	1	1	0	HYBRID	LT	BMS	BMS-BM1	
BMS-1042	Sinh tin học trong y sinh	3	1	0	2	HYBRID	LT	BMS	BMS-BM1	
BMS-1043	Thực hành giải phẫu — Prosection	3	1	0	2	ONLINE_ELEARNING	ONLINE	BMS	BMS-BM1	
BMS-1044	Sinh lý học	2	0	2	0	OFFLINE	TN	BMS	BMS-BM1	
BMS-1045	Miễn dịch học	2	0	2	0	ONLINE_COURSERA	ONLINE	BMS	BMS-BM1	
BMS-1046	Thực hành sinh lý và thí nghiệm động vật	2	0	2	0	ONLINE_COURSERA	ONLINE	BMS	BMS-BM1	
BMS-1047	Pháp y cơ sở	3	2	1	0	ONLINE_COURSERA	ONLINE	BMS	BMS-BM1	
BMS-1048	Y học cổ truyền cơ sở	3	2	1	0	OFFLINE	TN	BMS	BMS-BM1	
BMS-1049	Hóa phân tích trong sinh học	2	0	2	0	ONLINE_COURSERA	ONLINE	BMS	BMS-BM1	
BMS-1050	Cell biology nâng cao	3	2	1	0	OFFLINE	TN	BMS	BMS-BM1	
BMS-1051	Mô học — Histology	2	1	1	0	HYBRID	TN	BMS	BMS-BM1	
BMS-1052	Giải phẫu người	3	2	1	0	OFFLINE	TN	BMS	BMS-BM1	
BMS-1053	Sinh hóa y học	2	1	1	0	ONLINE_COURSERA	ONLINE	BMS	BMS-BM1	
BMS-1054	Di truyền y học	2	1	1	0	OFFLINE	LT	BMS	BMS-BM1	
BMS-1055	Phôi thai học	2	2	0	0	OFFLINE	LT	BMS	BMS-BM1	
BMS-1056	Laboratory biosafety	2	2	0	0	OFFLINE	LT	BMS	BMS-BM1	
BMS-1057	Vi-sinh lâm sàng	3	2	1	0	HYBRID	TN	BMS	BMS-BM1	
ME-1058	Seminar kỹ thuật y sinh	3	2	1	0	ONLINE_COURSERA	ONLINE	ME	ME-BM1	
ME-1059	Bảo trì thiết bị y tế	3	2	1	0	HYBRID	XT	ME	ME-BM1	
ME-1060	Thực tập xét nghiệm lâm sàng	3	1	0	2	OFFLINE	LT	ME	ME-BM1	
ME-1061	Siêu âm chẩn đoán cơ bản	3	2	1	0	OFFLINE	TN	ME	ME-BM1	
ME-1062	Vật lý trị liệu và nhiệt trị liệu	3	2	1	0	OFFLINE	BV	ME	ME-BM1	
ME-1063	Tổng quan công nghệ sinh học trong lâm sàng	3	2	1	0	ONLINE_ELEARNING	ONLINE	ME	ME-BM1	
ME-1064	Hóa sinh lâm sàng	3	2	1	0	ONLINE_ELEARNING	ONLINE	ME	ME-BM1	
