Mã lớp	Tên lớp	Khóa	Sĩ số	Mã ngành
MED1-K16A	Lớp MED1 K16A	K16	32	MED1
MED1-K17A	Lớp MED1 K17A	K17	40	MED1
MED1-K18A	Lớp MED1 K18A	K18	48	MED1
MED1-K19A	Lớp MED1 K19A	K19	32	MED1
MED1-K16B	Lớp MED1 K16B	K16	40	MED1
MED1-K17B	Lớp MED1 K17B	K17	48	MED1
MED1-K18B	Lớp MED1 K18B	K18	32	MED1
MED1-K19B	Lớp MED1 K19B	K19	40	MED1
MED1-K16C	Lớp MED1 K16C	K16	48	MED1
PHA1-K16A	Lớp PHA1 K16A	K16	44	PHA1
PHA1-K17A	Lớp PHA1 K17A	K17	52	PHA1
PHA1-K18A	Lớp PHA1 K18A	K18	36	PHA1
PHA1-K19A	Lớp PHA1 K19A	K19	44	PHA1
PHA1-K16B	Lớp PHA1 K16B	K16	52	PHA1
PHA1-K17B	Lớp PHA1 K17B	K17	36	PHA1
PHA1-K18B	Lớp PHA1 K18B	K18	44	PHA1
PHA1-K19B	Lớp PHA1 K19B	K19	52	PHA1
PHA1-K16C	Lớp PHA1 K16C	K16	36	PHA1
DEN1-K16A	Lớp DEN1 K16A	K16	32	DEN1
DEN1-K17A	Lớp DEN1 K17A	K17	40	DEN1
DEN1-K18A	Lớp DEN1 K18A	K18	48	DEN1
DEN1-K19A	Lớp DEN1 K19A	K19	32	DEN1
DEN1-K16B	Lớp DEN1 K16B	K16	40	DEN1
DEN1-K17B	Lớp DEN1 K17B	K17	48	DEN1
DEN1-K18B	Lớp DEN1 K18B	K18	32	DEN1
DEN1-K19B	Lớp DEN1 K19B	K19	40	DEN1
DEN1-K16C	Lớp DEN1 K16C	K16	48	DEN1
NUR1-K16A	Lớp NUR1 K16A	K16	44	NUR1
NUR1-K17A	Lớp NUR1 K17A	K17	52	NUR1
NUR1-K18A	Lớp NUR1 K18A	K18	36	NUR1
NUR1-K19A	Lớp NUR1 K19A	K19	44	NUR1
NUR1-K16B	Lớp NUR1 K16B	K16	52	NUR1
NUR1-K17B	Lớp NUR1 K17B	K17	36	NUR1
NUR1-K18B	Lớp NUR1 K18B	K18	44	NUR1
NUR1-K19B	Lớp NUR1 K19B	K19	52	NUR1
NUR1-K16C	Lớp NUR1 K16C	K16	36	NUR1
MIW-K16A	Lớp MIW K16A	K16	32	MIW
MIW-K17A	Lớp MIW K17A	K17	40	MIW
MIW-K18A	Lớp MIW K18A	K18	48	MIW
MIW-K19A	Lớp MIW K19A	K19	32	MIW
MIW-K16B	Lớp MIW K16B	K16	40	MIW
MIW-K17B	Lớp MIW K17B	K17	48	MIW
MIW-K18B	Lớp MIW K18B	K18	32	MIW
MIW-K19B	Lớp MIW K19B	K19	40	MIW
MIW-K16C	Lớp MIW K16C	K16	48	MIW
MTT1-K16A	Lớp MTT1 K16A	K16	44	MTT1
MTT1-K17A	Lớp MTT1 K17A	K17	52	MTT1
MTT1-K18A	Lớp MTT1 K18A	K18	36	MTT1
MTT1-K19A	Lớp MTT1 K19A	K19	44	MTT1
MTT1-K16B	Lớp MTT1 K16B	K16	52	MTT1
MTT1-K17B	Lớp MTT1 K17B	K17	36	MTT1
MTT1-K18B	Lớp MTT1 K18B	K18	44	MTT1
MTT1-K19B	Lớp MTT1 K19B	K19	52	MTT1
MTT1-K16C	Lớp MTT1 K16C	K16	36	MTT1
RET1-K16A	Lớp RET1 K16A	K16	32	RET1
RET1-K17A	Lớp RET1 K17A	K17	40	RET1
RET1-K18A	Lớp RET1 K18A	K18	48	RET1
RET1-K19A	Lớp RET1 K19A	K19	32	RET1
RET1-K16B	Lớp RET1 K16B	K16	40	RET1
RET1-K17B	Lớp RET1 K17B	K17	48	RET1
RET1-K18B	Lớp RET1 K18B	K18	32	RET1
RET1-K19B	Lớp RET1 K19B	K19	40	RET1
RET1-K16C	Lớp RET1 K16C	K16	48	RET1
RTS1-K16A	Lớp RTS1 K16A	K16	44	RTS1
RTS1-K17A	Lớp RTS1 K17A	K17	52	RTS1
RTS1-K18A	Lớp RTS1 K18A	K18	36	RTS1
RTS1-K19A	Lớp RTS1 K19A	K19	44	RTS1
RTS1-K16B	Lớp RTS1 K16B	K16	52	RTS1
RTS1-K17B	Lớp RTS1 K17B	K17	36	RTS1
RTS1-K18B	Lớp RTS1 K18B	K18	44	RTS1
RTS1-K19B	Lớp RTS1 K19B	K19	52	RTS1
RTS1-K16C	Lớp RTS1 K16C	K16	36	RTS1
FTME-K16A	Lớp FTME K16A	K16	32	FTME
FTME-K17A	Lớp FTME K17A	K17	40	FTME
FTME-K18A	Lớp FTME K18A	K18	48	FTME
FTME-K19A	Lớp FTME K19A	K19	32	FTME
FTME-K16B	Lớp FTME K16B	K16	40	FTME
FTME-K17B	Lớp FTME K17B	K17	48	FTME
FTME-K18B	Lớp FTME K18B	K18	32	FTME
FTME-K19B	Lớp FTME K19B	K19	40	FTME
FTME-K16C	Lớp FTME K16C	K16	48	FTME
BMS-K16A	Lớp BMS K16A	K16	44	BMS
BMS-K17A	Lớp BMS K17A	K17	52	BMS
BMS-K18A	Lớp BMS K18A	K18	36	BMS
BMS-K19A	Lớp BMS K19A	K19	44	BMS
BMS-K16B	Lớp BMS K16B	K16	52	BMS
BMS-K17B	Lớp BMS K17B	K17	36	BMS
BMS-K18B	Lớp BMS K18B	K18	44	BMS
BMS-K19B	Lớp BMS K19B	K19	52	BMS
BMS-K16C	Lớp BMS K16C	K16	36	BMS
HM1-K16A	Lớp HM1 K16A	K16	32	HM1
HM1-K17A	Lớp HM1 K17A	K17	40	HM1
HM1-K18A	Lớp HM1 K18A	K18	48	HM1
HM1-K19A	Lớp HM1 K19A	K19	32	HM1
HM1-K16B	Lớp HM1 K16B	K16	40	HM1
HM1-K17B	Lớp HM1 K17B	K17	48	HM1
HM1-K18B	Lớp HM1 K18B	K18	32	HM1
HM1-K19B	Lớp HM1 K19B	K19	40	HM1
HM1-K16C	Lớp HM1 K16C	K16	48	HM1
ICT1-K16A	Lớp ICT1 K16A	K16	44	ICT1
