Học kỳ (1-12)	Mã học phần	Tên học phần (gợi ý, không bắt buộc)
1	FOL-1525	Pháp luật đại cương
1	FFS-1601	Giải tích A1
1	FFS-1602	Đại số tuyến tính
1	FOS-1169	Tư tưởng Hồ Chí Minh và phát triển bền vững
1	FFS-1607	Triết học Mác — Lênin
2	BCEE-1298	Hóa đại cương
2	BCEE-1296	Hữu cơ đại cương
2	BCEE-1304	Vi sinh học đại cương
2	FFS-1603	Vật lý đại cương 1
2	FFS-1610	Kỹ năng mềm và định hướng nghề nghiệp
3	BCEE-1291	Hoá phân tích
3	BCEE-1292	Di truyền học phân tử
3	BCEE-1287	Sinh học tế bào và mô nuôi cấy
3	BMS-1053	Sinh hóa y học
3	BMS-1044	Sinh lý học
4	BCEE-1286	Công nghệ enzyme
4	BCEE-1288	Xử lý nước và nước thải
4	BCEE-1294	An toàn hóa chất — MSDS
4	BCEE-1297	Thực hành hóa phân tích hiện đại
4	BCEE-1301	Thực hành vi sinh và PCR
5	BCEE-1290	Quản lý và thiết kế hệ thống môi trường
5	BCEE-1299	Đánh giá tác động môi trường
5	BCEE-1293	Công nghệ sinh học môi trường
5	BMS-1045	Miễn dịch học
5	BMS-1057	Vi-sinh lâm sàng
6	BCEE-1300	Thực tập nhà máy và lab doanh nghiệp
6	BCEE-1302	Đồ án thiết kế phản ứng — Tách chiết
6	BCEE-1303	Kỹ thuật lên men
6	BMS-1040	Dịch tễ học cơ sở
7	BCEE-1289	Khí thải công nghiệp — Công nghệ xử lý
7	BCEE-1295	Hóa lý — Kinet-xúc tác
7	BMS-1050	Cell biology nâng cao
7	BMS-1042	Sinh tin học trong y sinh
8	BMS-1043	Thực hành giải phẫu — Prosection
8	BMS-1052	Giải phẫu người
8	BMS-1051	Mô học — Histology
8	MD-1098	Dịch tễ và Y sinh thống kê
9	FP-1014	Sinh dược
9	FP-1005	Sinh phẩm và vaccine
9	FPH-1144	Thống kê y tế
9	FPH-1151	Dịch tễ học
9	FPH-1136	Nutrition cộng đồng
10	FL-1180	Critical thinking bằng tiếng Anh
11	FPH-1142	Ethics trong nghiên cứu sức khỏe cộng đồng
11	FFS-1606	Phương pháp nghiên cứu khoa học
12	BCEE-1772	Seminar hướng dẫn đồ án tốt nghiệp
12	BCEE-1771	Đồ án / Khóa luận tốt nghiệp
