Học kỳ (1-12)	Mã học phần	Tên học phần (gợi ý, không bắt buộc)
1	FOL-1525	Pháp luật đại cương
1	FFS-1601	Giải tích A1
1	FFS-1602	Đại số tuyến tính
1	EEE-1320	Kỹ thuật số và vi xử lý
1	EEE-1317	Mạch điện tử
2	FFS-1603	Vật lý đại cương 1
2	MEM-1279	Cơ học kỹ thuật
2	EEE-1321	Thực hành lab điện tử
2	BCEE-1298	Hóa đại cương
2	FL-1180	Critical thinking bằng tiếng Anh
3	MEM-1285	Nhiệt kỹ thuật — Truyền nhiệt
3	EEE-1318	Truyền thông số — Giao thức nền tảng
3	MEM-1272	Nguyên lý chi tiết máy
3	MEM-1284	Kỹ thuật đo lường và điều khiển
3	MEM-1268	Bảo trì và tin cậy hệ thống
4	EEE-1308	Thiết kế vi mạch số — HDL
4	EEE-1322	Xử lý tín hiệu số DSP
4	MEM-1274	Hệ thống robot công nghiệp
4	MEM-1281	Quản lý dự án cơ khí
4	EEE-1311	Thực hành PLC và SCADA
4	MEM-1277	An toàn lao động — Phòng cháy xưởng
5	EEE-1315	Lý thuyết điều khiển hiện đại
5	EEE-1307	Hệ thống nhúng và RTOS
5	MEM-1276	Truyền động thủy lực — Khí nén
5	MEM-1270	CNC và lập trình gia công
5	EEE-1306	Trí tuệ nhân tạo trong điều khiển
6	EEE-1316	Robot công nghiệp — Động học
6	EEE-1313	Đồ án vi điều khiển
6	MEM-1275	Đồ án mechatronics
6	MEM-1273	Công nghệ chế tạo máy
6	EEE-1312	Antenna và RF cơ bản
6	EEE-1310	Smart grid và năng lượng tái tạo
7	EEE-1319	Điện công nghiệp và biến tần
7	EEE-1305	Vi mạch tương tự cơ bản
7	MEM-1282	Ứng dụng IoT trong giám sát máy
7	EEE-1314	Bảo mật hệ thống nhúng
8	EEE-1309	Seminar chuyển đổi số trong kỹ thuật
8	MEM-1283	Đồ án thiết kế chi tiết máy
8	MEM-1280	Seminar công nghệ 4.0 trong chế tạo
8	MEM-1267	Vật liệu kỹ thuật
9	EEE-1323	Điều khiển tự động — Hệ thống con và ổn định
9	MEM-1271	Thiết kế CAD — CAE
9	MEM-1278	Thực tập xưởng cơ khí
9	FOS-1169	Tư tưởng Hồ Chí Minh và phát triển bền vững
10	MEM-1269	Tính toán CAD — mô phỏng FEM cơ bản
10	MSE-1342	Khoa học vật liệu đại cương
10	FFS-1606	Phương pháp nghiên cứu khoa học
11	EIB-1382	Kinh tế vi mô — Ứng dụng
12	EEE-1782	Seminar hướng dẫn đồ án tốt nghiệp
12	EEE-1781	Đồ án / Khóa luận tốt nghiệp
