Học kỳ (1-12)	Mã học phần	Tên học phần (gợi ý, không bắt buộc)
1	FOL-1525	Pháp luật đại cương
1	EIB-1394	Kinh tế vĩ mô — Mở
1	FL-1180	Critical thinking bằng tiếng Anh
1	FFA-1427	Nguyên lý kế toán
1	FBA-1402	Đạo đức kinh doanh
2	EIB-1382	Kinh tế vi mô — Ứng dụng
2	FFA-1431	Tài chính doanh nghiệp
2	FBA-1404	Nguyên lý quản trị
2	FBA-1401	Hành vi tổ chức
2	EIB-1390	Kinh tế quốc tế
2	FBA-1405	Quản trị thay đổi
3	FFA-1421	Kế toán tài chính
3	FBA-1416	Tài chính doanh nghiệp cho QT KD
3	FBA-1409	Quản lý chuỗi cung ứng — cơ bản
3	EIB-1392	Tài chính quốc tế cơ sở
3	FIS-1454	Phân tích và thiết kế hệ thống thông tin
3	FFA-1430	Pháp luật kinh doanh
4	FBA-1407	Quản trị nhân lực
4	FBA-1415	Quản trị marketing
4	FBA-1403	Đàm phán trong kinh doanh
4	EIB-1387	Thương mại quốc tế và WTO
4	FFA-1436	Quản trị tín dụng
5	FBA-1413	Quản trị vận hành
5	FBA-1414	Tuyển dụng và đánh giá 360
5	FFA-1428	Fintech và thanh toán số
5	FFA-1426	Ngân hàng thương mại
6	FBA-1408	Quản trị chiến lược
6	FBA-1412	Khởi nghiệp và business model canvas
6	FFA-1432	Quản trị rủi ro tài chính
6	EIB-1383	Đầu tư trực tiếp nước ngoài FDI
7	FBA-1417	Đồ án quản trị tổng hợp
7	EIB-1395	Pháp luật thương mại quốc tế
7	FFA-1433	Thuế — Luật thuế hiện hành
7	FFA-1434	Thị trường chứng khoán
8	FBA-1400	Thực tập doanh nghiệp
8	FFA-1435	Thực tập ngân hàng — kiểm toán
8	EIB-1381	Đồ án mô phỏng xuất nhập khẩu
8	FOL-1514	Luật Lao động
9	EIB-1389	ERP trong logistics
9	EIB-1396	Logistics đa phương thức
9	EIB-1397	Incoterms — Hợp đồng thương mại
10	FIS-1440	Business intelligence và data warehouse
10	EIB-1385	Exim documentation và UCP 600 thực hành
10	FOL-1526	Đàm phán và soạn thảo hợp đồng
10	FOL-1519	Luật Doanh nghiệp
10	FOL-1520	Luật Thuế cơ bản
11	FIS-1451	Agile và DevOps trong doanh nghiệp
11	FOL-1518	Luật Sở hữu trí tuệ
12	EIB-1384	Seminar chiến tranh thương mại và chuỗi cung ứng
12	FOL-1522	Luật Trách nhiệm hình sự kinh tế
12	FOL-1530	Luật Cạnh tranh
12	FOL-1524	Pháp luật về Fintech
12	FBA-1832	Seminar hướng dẫn đồ án tốt nghiệp
12	FBA-1831	Đồ án / Khóa luận tốt nghiệp
