Học kỳ (1-12)	Mã học phần	Tên học phần (gợi ý, không bắt buộc)
1	FOL-1525	Pháp luật đại cương
1	FFS-1602	Đại số tuyến tính
1	FOS-1169	Tư tưởng Hồ Chí Minh và phát triển bền vững
1	FL-1180	Critical thinking bằng tiếng Anh
1	FFS-1608	Kinh tế chính trị Mác — Lênin
1	FFS-1610	Kỹ năng mềm và định hướng nghề nghiệp
2	EIB-1394	Kinh tế vĩ mô — Mở
2	EIB-1382	Kinh tế vi mô — Ứng dụng
2	FFA-1427	Nguyên lý kế toán
2	FBA-1402	Đạo đức kinh doanh
2	FIDT-1539	Kinh tế số và nền tảng dữ liệu
2	FIDT-1540	Thương mại điện tử đa kênh
3	FIDT-1543	Chiến lược định giá số
3	FIDT-1548	Digital marketing và growth hacking
3	FIDT-1550	Phân tích dữ liệu kinh doanh
3	FBA-1404	Nguyên lý quản trị
3	FIS-1454	Phân tích và thiết kế hệ thống thông tin
3	FFA-1430	Pháp luật kinh doanh
4	FIDT-1533	Product management trong startup
4	FIDT-1546	Agile product discovery
4	FIDT-1538	Đồ án gian hàng số — livestream commerce
4	FIDT-1542	Chuỗi cung ứng thông minh
4	FBA-1418	Data-driven decision making
5	FIDT-1549	UX research cho sản phẩm số
5	FIDT-1547	Logistics số và last-mile delivery
5	FIS-1443	Big data giới thiệu
5	FIDT-1544	Quyền riêng tư dữ liệu và GDPR — tổng quan
5	FBA-1409	Quản lý chuỗi cung ứng — cơ bản
6	FIDT-1534	An toàn thông tin cho SME số hóa
6	FIDT-1535	Financial modeling cho startup tech
6	FIDT-1536	Thực tập agency digital
6	EIB-1390	Kinh tế quốc tế
6	FFA-1428	Fintech và thanh toán số
7	FIS-1440	Business intelligence và data warehouse
7	FIS-1453	Cơ sở dữ liệu và SQL nâng cao
7	FIS-1451	Agile và DevOps trong doanh nghiệp
7	FBA-1415	Quản trị marketing
7	EIB-1399	Marketing quốc tế
7	EIB-1389	ERP trong logistics
9	FBA-1416	Tài chính doanh nghiệp cho QT KD
9	FBA-1413	Quản trị vận hành
9	FOL-1529	Luật Thương mại
9	FOL-1519	Luật Doanh nghiệp
9	FOL-1520	Luật Thuế cơ bản
10	FBA-1400	Thực tập doanh nghiệp
10	FOL-1526	Đàm phán và soạn thảo hợp đồng
10	EIB-1391	Ngoại hối và phòng ngừa rủi ro
11	FBA-1412	Khởi nghiệp và business model canvas
11	FFA-1431	Tài chính doanh nghiệp
12	FIS-1438	Lập trình ứng dụng doanh nghiệp
12	EIB-1385	Exim documentation và UCP 600 thực hành
12	FOL-1524	Pháp luật về Fintech
12	FIDT-1902	Seminar hướng dẫn đồ án tốt nghiệp
12	FIDT-1901	Đồ án / Khóa luận tốt nghiệp
