Học kỳ (1-12)	Mã học phần	Tên học phần (gợi ý, không bắt buộc)
1	FOL-1525	Pháp luật đại cương
1	FFS-1601	Giải tích A1
1	FFS-1602	Đại số tuyến tính
1	FOS-1169	Tư tưởng Hồ Chí Minh và phát triển bền vững
1	FFS-1610	Kỹ năng mềm và định hướng nghề nghiệp
2	FFS-1603	Vật lý đại cương 1
2	FFS-1607	Triết học Mác — Lênin
2	FL-1180	Critical thinking bằng tiếng Anh
2	FL-1173	Đánh giá năng lực ngôn ngữ
2	FOS-1156	Lịch sử — Văn hóa Đông Á
2	FOS-1162	Ngôn ngữ học đối chiếu
3	FL-1178	Ngữ âm — Âm vị học tiếng Anh
3	FL-1179	Dịch — Biên dịch cơ bản
3	FL-1182	Phương pháp giảng dạy tiếng Anh
3	FOS-1160	Triết học Đông phương — Khổng — Lão — Phật
3	FOS-1161	Phương pháp nghiên cứu Đông phương học
3	FFA-1430	Pháp luật kinh doanh
4	FL-1176	Văn học Anh — Mỹ chọn lọc
4	FL-1183	Kiểm định Cambridge — TKT
4	FL-1188	Giao tiếp đa văn hóa
4	FOS-1163	Ấn Độ giáo và văn hóa Nam Á
4	FOS-1164	Văn học Hàn Quốc đương đại
4	FOS-1165	Quan hệ Việt Nam — ASEAN văn hóa
5	FL-1186	Tiếng Anh thương mại
5	FL-1181	Quản lý lớp học CLIL
5	FL-1185	Tiếng Anh Y khoa cơ bản
5	FL-1190	Ngữ pháp nâng cao
5	FOS-1157	Seminar luận văn Đông phương học
5	FOS-1158	Ngôn ngữ Cổ — Sanscrit cơ bản
6	FL-1172	Biên — Phiên dịch nền tảng
6	FL-1175	Linguistics ứng dụng
6	FL-1187	Dịch phụ đề và media
6	FOS-1166	Văn học cổ điển Trung Hoa
6	FOS-1167	Văn học hiện đại Nhật Bản
7	FL-1174	Đồ án dịch thuật
7	FL-1184	Viết học thuật tiếng Anh
7	FL-1189	Genre và phân tích diễn ngôn
7	FL-1177	Seminar văn học hậu thực dân
8	FOS-1168	Di sản văn hóa phi vật thể
8	FOS-1170	So sánh văn minh sông Hằng và sông Ấn
9	FOL-1526	Đàm phán và soạn thảo hợp đồng
10	FOL-1517	Lý luận Nhà nước và Pháp luật
10	FTH-1367	Luật du lịch và hướng dẫn viên
11	FTH-1378	Sự kiện — MICE tổ chức
11	FTH-1379	Di sản và du lịch bền vững
12	FFS-1606	Phương pháp nghiên cứu khoa học
12	FL-1712	Seminar hướng dẫn đồ án tốt nghiệp
12	FL-1711	Đồ án / Khóa luận tốt nghiệp
