Học kỳ (1-12)	Mã học phần	Tên học phần (gợi ý, không bắt buộc)
1	FOL-1525	Pháp luật đại cương
1	FL-1180	Critical thinking bằng tiếng Anh
1	FOS-1169	Tư tưởng Hồ Chí Minh và phát triển bền vững
1	FFS-1601	Giải tích A1
1	FFS-1602	Đại số tuyến tính
2	BCEE-1298	Hóa đại cương
2	BCEE-1296	Hữu cơ đại cương
2	FCS-1463	Nhập môn lập trình
2	FCS-1458	Cơ sở dữ liệu
2	FCS-1459	Lập trình hướng đối tượng
2	FFS-1603	Vật lý đại cương 1
3	FCS-1465	Kiến trúc máy tính
3	FCS-1472	Cấu trúc dữ liệu và giải thuật
3	FCS-1460	Hệ điều hành
3	FCS-1466	Phát triển Web full-stack
3	FFS-1606	Phương pháp nghiên cứu khoa học
4	FCS-1469	Mạng máy tính
4	FCS-1473	An toàn mạng máy tính
4	FIS-1456	Quản lý dự án CNTT
4	FFS-1604	Vật lý đại cương 2
4	FFS-1605	Xác suất và thống kê đại cương
5	FCS-1471	Cloud-native và microservices
5	FCS-1468	Container và Kubernetes cơ bản
5	FCS-1474	Lập trình mobile đa nền tảng
5	FCS-1461	Deep learning và ứng dụng
5	FAD-1486	Xác suất thống kê cho AI
6	FCS-1467	Machine learning
6	FAD-1483	Học máy nâng cao
6	FIS-1443	Big data giới thiệu
6	FL-1184	Viết học thuật tiếng Anh
7	FCS-1457	Phần mềm mã nguồn mở
7	FIS-1451	Agile và DevOps trong doanh nghiệp
7	FAD-1478	Giải thích mô hình AI
8	FCS-1470	Seminar xu hướng CNTT
8	FAD-1492	MLOps và triển khai model
9	FCS-1462	Đồ án phần mềm nhóm
10	FCS-1464	Thực tập phát triển phần mềm
10	FIS-1452	Thực tập IT helpdesk — triển khai
10	FIS-1444	Seminar digital transformation
11	FIS-1455	Kiến trúc hướng sự kiện Event-driven trong SI
11	FIS-1450	Data governance và master data management
12	FIS-1438	Lập trình ứng dụng doanh nghiệp
12	FIS-1439	Quản trị an toàn thông tin doanh nghiệp
12	FCS-1862	Seminar hướng dẫn đồ án tốt nghiệp
12	FCS-1861	Đồ án / Khóa luận tốt nghiệp
