Học kỳ (1-12)	Mã học phần	Tên học phần (gợi ý, không bắt buộc)
1	FOL-1525	Pháp luật đại cương
1	FOS-1169	Tư tưởng Hồ Chí Minh và phát triển bền vững
1	FFS-1601	Giải tích A1
1	FFS-1602	Đại số tuyến tính
1	FFS-1608	Kinh tế chính trị Mác — Lênin
2	BCEE-1298	Hóa đại cương
2	FCS-1463	Nhập môn lập trình
2	FAD-1486	Xác suất thống kê cho AI
2	FFS-1603	Vật lý đại cương 1
2	FAD-1477	Kỹ thuật prompt và LLM ứng dụng
2	FFS-1607	Triết học Mác — Lênin
3	FCS-1458	Cơ sở dữ liệu
3	FCS-1459	Lập trình hướng đối tượng
3	FCS-1465	Kiến trúc máy tính
3	FAD-1493	Thị giác máy tính
3	FCS-1475	Trí tuệ nhân tạo đại cương
4	FCS-1472	Cấu trúc dữ liệu và giải thuật
4	FCS-1460	Hệ điều hành
4	FAD-1490	Thực lab GPU và framework hiện đại
4	FAD-1476	Đạo đức AI và fairness
4	FFS-1604	Vật lý đại cương 2
5	FCS-1469	Mạng máy tính
5	FCS-1467	Machine learning
5	FAD-1483	Học máy nâng cao
5	FAD-1489	Xử lý ngôn ngữ tự nhiên
5	FCS-1461	Deep learning và ứng dụng
6	FCS-1473	An toàn mạng máy tính
6	FAD-1478	Giải thích mô hình AI
6	FAD-1479	Generative models
6	FAD-1481	Học tăng cường cơ sở
7	FAD-1492	MLOps và triển khai model
7	FAD-1484	Đồ án AI tổng hợp
7	FAD-1480	Seminar bài báo NeurIPS — CVPR chọn lọc
8	FCS-1462	Đồ án phần mềm nhóm
8	FIS-1443	Big data giới thiệu
9	FCS-1464	Thực tập phát triển phần mềm
9	FIS-1456	Quản lý dự án CNTT
9	FIS-1451	Agile và DevOps trong doanh nghiệp
9	FCS-1457	Phần mềm mã nguồn mở
10	FCS-1471	Cloud-native và microservices
11	FCS-1466	Phát triển Web full-stack
11	FIS-1438	Lập trình ứng dụng doanh nghiệp
11	FIS-1439	Quản trị an toàn thông tin doanh nghiệp
12	FCS-1470	Seminar xu hướng CNTT
12	FAD-1872	Seminar hướng dẫn đồ án tốt nghiệp
12	FAD-1871	Đồ án / Khóa luận tốt nghiệp
