Học kỳ (1-12)	Mã học phần	Tên học phần (gợi ý, không bắt buộc)
1	FOL-1525	Pháp luật đại cương
1	FFS-1601	Giải tích A1
1	FFS-1602	Đại số tuyến tính
1	FOS-1169	Tư tưởng Hồ Chí Minh và phát triển bền vững
1	FFS-1610	Kỹ năng mềm và định hướng nghề nghiệp
2	BCEE-1298	Hóa đại cương
2	BCEE-1296	Hữu cơ đại cương
2	BCEE-1304	Vi sinh học đại cương
2	FFS-1603	Vật lý đại cương 1
2	FFS-1607	Triết học Mác — Lênin
3	BMS-1039	Dược lý cơ sở
3	BMS-1053	Sinh hóa y học
3	FP-1014	Sinh dược
3	FP-1016	Dược lý
3	BCEE-1291	Hoá phân tích
4	FP-1019	Hóa dược
4	FP-1002	Dược lý ứng dụng
4	FP-1017	Phân tích dược — UV–Vis và HPLC
4	FP-1003	Độc học — Dược thải và an toàn
4	BCEE-1287	Sinh học tế bào và mô nuôi cấy
5	FP-1001	Dược lâm sàng
5	FP-1006	Dược phẩm lâm sàng các nhóm thuốc
5	FP-1011	Bào chế và công nghệ dược
5	FP-1005	Sinh phẩm và vaccine
5	FP-1009	Thông tin dược và kê đơn
6	FP-1015	Kiểm nghiệm dược phẩm
6	FP-1008	Quản lý chất lượng dược phẩm
6	FP-1004	Marketing và truyền thông sức khỏe
6	FP-1010	Điều dưỡng dược lâm sàng
6	FP-1012	Dược liệu và thuốc cổ truyền
7	FP-1013	Thực tập cơ sở sản xuất dược
7	FP-1007	Seminar chuyên đề Dược
7	FP-1018	Chọn thuốc và theo dõi điều trị
8	BCEE-1292	Di truyền học phân tử
8	BCEE-1286	Công nghệ enzyme
8	BCEE-1294	An toàn hóa chất — MSDS
8	BCEE-1301	Thực hành vi sinh và PCR
9	FPH-1144	Thống kê y tế
9	FPH-1151	Dịch tễ học
9	FPH-1137	Quản lý dịch bệnh và cảnh báo
9	MD-1110	Pháp y và pháp luật y khoa
10	FL-1185	Tiếng Anh Y khoa cơ bản
11	BCEE-1300	Thực tập nhà máy và lab doanh nghiệp
11	BCEE-1302	Đồ án thiết kế phản ứng — Tách chiết
11	BCEE-1299	Đánh giá tác động môi trường
12	FFS-1606	Phương pháp nghiên cứu khoa học
12	FL-1180	Critical thinking bằng tiếng Anh
12	FPH-1142	Ethics trong nghiên cứu sức khỏe cộng đồng
12	FP-1622	Seminar hướng dẫn đồ án tốt nghiệp
12	FP-1621	Đồ án / Khóa luận tốt nghiệp
